Pack ID / Elevation(s) / Pack-Option Name,Pack ID / Elevation(s) / Pack-Option Name Cleaned,Shipping Order/ Pack Number,Elevation,Option,Option/Phase Number,ItemNo,Type,,,Spill Formulas,,,,,,,,,,,ItemNo,Type
|09 WO BASEMENT WALLS - WO,|09 WO BASEMENT WALLS,1,,,WO,4085,Lumber,,,|09 WO BASEMENT WALLS,WO,,,,|09 WO BASEMENT WALLS,,,,|09,WO BASEMENT WALLS,4085,Lumber
|09.2 WO BASEMENT WALLS 2 - WO2,|09.2 WO BASEMENT WALLS 2,1,,WO2,WO2,4085,Lumber,,,|09.2 WO BASEMENT WALLS 2,WO2,,,,|09.2 WO BASEMENT WALLS 2,,,,|09,.2 WO BASEMENT WALLS 2,4085,Lumber
|10 FOUNDATION,|10 FOUNDATION,1,,,,4085,Lumber,,,|10 FOUNDATION,,,,,|10 FOUNDATION,,,,|10,FOUNDATION,4085,Lumber
|10.01 OPT FOUNDATION - FPSING01,|10.01 OPT FOUNDATION,1,,FPSING01,FPSING01,4085,Lumber,,,|10.01 OPT FOUNDATION,FPSING01,,,,|10.01 OPT FOUNDATION,,,,|10,.01 OPT FOUNDATION,4085,Lumber
|10.60x EXTENDED GREAT ROOM FOUNDATION - XGREAT,|10.60x EXTENDED GREAT ROOM FOUNDATION,1,,XGREAT,XGREAT,4085,Lumber,,,|10.60x EXTENDED GREAT ROOM FOUNDATION,XGREAT,,,,|10.60x EXTENDED GREAT ROOM FOUNDATION,,,,|10,.60x EXTENDED GREAT ROOM FOUNDATION,4085,Lumber
|10.61 SUNROOM FOUNDATION - SUN,|10.61 SUNROOM FOUNDATION,1,,SUN,SUN,4085,Lumber,,,|10.61 SUNROOM FOUNDATION,SUN,,,,|10.61 SUNROOM FOUNDATION,,,,|10,.61 SUNROOM FOUNDATION,4085,Lumber
|10.82 OPT DEN FOUNDATION,|10.82 OPT DEN FOUNDATION,1,,,,4085,Lumber,,,|10.82 OPT DEN FOUNDATION,,,,,|10.82 OPT DEN FOUNDATION,,,,|10,.82 OPT DEN FOUNDATION,4085,Lumber
|10.82BCD OPT DEN FOUNDATION  - ELVB - ELVC - ELVD,|10.82 OPT DEN FOUNDATION,1,"B, C, D",,"ELVB, ELVC, ELVD",4085,Lumber,,,|10.82BCD OPT DEN FOUNDATION,ELVB,ELVC,ELVD,,|10.82BCD OPT DEN FOUNDATION,,,,|10,.82BCD OPT DEN FOUNDATION,4085,Lumber
|10.83BCD OPT DEN  W/FULL BATH FOUNDATION  - ELVB - ELVC - ELVD,|10.83 OPT DEN W/FULL BATH FOUNDATION,1,"B, C, D",,"ELVB, ELVC, ELVD",4085,Lumber,,,|10.83BCD OPT DEN W/FULL BATH FOUNDATION,ELVB,ELVC,ELVD,,|10.83BCD OPT DEN W/FULL BATH FOUNDATION,,,,|10,.83BCD OPT DEN W/FULL BATH FOUNDATION,4085,Lumber
|10.tc TALLCRAWL FRAMING - TALLCRWL,|10.tc TALLCRAWL FRAMING,1,,TALLCRWL,TALLCRWL,4085,Lumber,,,|10.tc TALLCRAWL FRAMING,TALLCRWL,,,,|10.tc TALLCRAWL FRAMING,,,,|10,.tc TALLCRAWL FRAMING,4085,Lumber
