Pack ID / Elevation(s) / Pack-Option Name Cleaned,Shipping Order/ Pack Number,Elevation Letter Combined,Option,Elevation/Option Combined,Elevation/ Option 1,Elevation/ Option 2,Elevation/ Option 3,Plan#,,,ItemNo,Type,,Final Code
|09.00 WO BASEMENT WALLS     ,1,,,WO,WO,,,XXXX,09.00,WO BASEMENT WALLS     ,1000,Framing,,XXXX-09.00-1000
|09.20 WO BASEMENT WALLS 2    ,1,,WO2,WO2,WO2,,,XXXX,09.20,WO BASEMENT WALLS 2    ,1000,Framing,,XXXX-09.20-1000
|10.00 FOUNDATION       ,1,,,,,,,XXXX,10.00,FOUNDATION       ,1000,Framing,,XXXX-10-1000
|10.01 OPT FOUNDATION      ,1,,FPSING01,FPSING01,FPSING01,,,XXXX,10.01,OPT FOUNDATION      ,1000,Framing,,XXXX-10.01-1000
|10.60 EXTENDED GREAT ROOM FOUNDATION    ,1,,XGREAT,XGREAT,XGREAT,,,XXXX,10.60,EXTENDED GREAT ROOM FOUNDATION    ,1000,Framing,,XXXX-10.6-1000
|10.61 SUNROOM FOUNDATION      ,1,,SUN,SUN,SUN,,,XXXX,10.61,SUNROOM FOUNDATION      ,1000,Framing,,XXXX-10.61-1000
|10.82 OPT DEN FOUNDATION     ,1,,,,,,,XXXX,10.82,OPT DEN FOUNDATION     ,1000,Framing,,XXXX-10.82-1000
|10.82 OPT DEN FOUNDATION     ,1,"B, C, D",,"ELVB, ELVC, ELVD",ELVB,ELVC,ELVD,XXXX,10.82,OPT DEN FOUNDATION     ,1000,Framing,,XXXX-10.82-1000
|10.83 OPT DEN W/FULL BATH FOUNDATION   ,1,"B, C, D",,"ELVB, ELVC, ELVD",ELVB,ELVC,ELVD,XXXX,10.83,OPT DEN W/FULL BATH FOUNDATION   ,1000,Framing,,XXXX-10.83-1000
|10.tc TALLCRAWL FRAMING      ,1,,TALLCRWL,TALLCRWL,TALLCRWL,,,XXXX,10.tc,TALLCRAWL FRAMING      ,1000,Framing,,XXXX-10.tc-1000
|10.00 FOUNDATION       ,1,"B, C, D",,"ELVB, ELVC, ELVD",ELVB,ELVC,ELVD,XXXX,10.00,FOUNDATION       ,1000,Framing,,XXXX-10-1000
|11.00 MAIN JOIST SYSTEM @FOUNDATION    ,1,,,,,,,XXXX,11.00,MAIN JOIST SYSTEM @FOUNDATION    ,1000,Framing,,XXXX-11-1000
|11.01 MAIN JOIST SYSTEM FIREPLACE ADD ON @FOUNDATION ,1,,FPSING,FPSING,FPSING,,,XXXX,11.01,MAIN JOIST SYSTEM FIREPLACE ADD ON @FOUNDATION ,1000,Framing,,XXXX-11.01-1000
|11.60 MAIN JOIST SYSTEM @ EXTENDED GREAT ROOM ,1,,XGREAT,XGREAT,XGREAT,,,XXXX,11.60,MAIN JOIST SYSTEM @ EXTENDED GREAT ROOM ,1000,Framing,,XXXX-11.6-1000
|11.62 MAIN JOIST SYSTEM LOFT 2 ADD ON @FOUNDATION,1,,LOFT2,LOFT2,LOFT2,,,XXXX,11.62,MAIN JOIST SYSTEM LOFT 2 ADD ON @FOUNDATION,1000,Framing,,XXXX-11.62-1000
|12.00 OPT 3RD CAR GARAGE FOUNDATION   ,1,,"3CARA, 3CARB, 3CARC","3CARA, 3CARB, 3CARC",3CARA,3CARB,3CARC,XXXX,12.00,OPT 3RD CAR GARAGE FOUNDATION   ,1000,Framing,,XXXX-12-1000
|12.40 OPT 4 CAR GARAGE TANDEM FOUNDATION  ,1,,"4CARTA, 4CARTB, 4CARTC","4CARTA, 4CARTB, 4CARTC",4CARTA,4CARTB,4CARTC,XXXX,12.40,OPT 4 CAR GARAGE TANDEM FOUNDATION  ,1000,Framing,,XXXX-12.4-1000
|12.2x OPT 2 CAR GARAGE 2' EXT FOUNDATION ,1,,GAREXT2,GAREXT2,GAREXT2,,,XXXX,12.2x,OPT 2 CAR GARAGE 2' EXT FOUNDATION ,1000,Framing,,XXXX-12.2x-1000
|12.4x OPT 2 CAR GARAGE 4' EXT FOUNDATION ,1,"A, B, C","2CAR4XA, 2CAR4XB, 2CAR4XC","2CAR4XA, 2CAR4XB, 2CAR4XC",2CAR4XA,2CAR4XB,2CAR4XC,XXXX,12.4x,OPT 2 CAR GARAGE 4' EXT FOUNDATION ,1000,Framing,,XXXX-12.4x-1000
|12.5x OPT 2 CAR GARAGE 5' EXT FOUNDATION ,1,"A, B","2CAR5XA, 2CAR5XB","2CAR5XA, 2CAR5XB",2CAR5XA,2CAR5XB,,XXXX,12.5x,OPT 2 CAR GARAGE 5' EXT FOUNDATION ,1000,Framing,,XXXX-12.5x-1000
|12.00 3RD CAR GARAGE FOUNDATION    ,1,"A, B, D","3CARA, 3CARB, 3CARD","3CARA, 3CARB, 3CARD",3CARA,3CARB,3CARD,XXXX,12.00,3RD CAR GARAGE FOUNDATION    ,1000,Framing,,XXXX-12-1000
|12.00 3RD CAR GARAGE FOUNDATION    ,1,"B, C, D","3CARB, 3CARC, 3CARD","3CARB, 3CARC, 3CARD",3CARB,3CARC,3CARD,XXXX,12.00,3RD CAR GARAGE FOUNDATION    ,1000,Framing,,XXXX-12-1000
|13.10 COVERED PATIO FOUNDATION     ,1,,COVP,COVP,COVP,,,XXXX,13.10,COVERED PATIO FOUNDATION     ,1000,Framing,,XXXX-13.1-1000
|13.20 COVERED PATIO 2 FOUNDATION    ,1,,COVP2,COVP2,COVP2,,,XXXX,13.20,COVERED PATIO 2 FOUNDATION    ,1000,Framing,,XXXX-13.2-1000
|13.20 COVERED PATIO 2 FOUNDATION    ,1,,COVP2,COVP2,COVP2,,,XXXX,13.20,COVERED PATIO 2 FOUNDATION    ,1000,Framing,,XXXX-13.2-1000
|13.30 COVERED PATIO 3 FOUNDATION    ,1,,COVP3,COVP3,COVP3,,,XXXX,13.30,COVERED PATIO 3 FOUNDATION    ,1000,Framing,,XXXX-13.3-1000
|14.10 DECK FOUNDATION      ,1,,DECK,DECK,DECK,,,XXXX,14.10,DECK FOUNDATION      ,1000,Framing,,XXXX-14.1-1000
|14.20 DECK FOUNDATION      ,1,,DECK2,DECK2,DECK2,,,XXXX,14.20,DECK FOUNDATION      ,1000,Framing,,XXXX-14.2-1000
|14.30 DECK FOUNDATION      ,1,,DECK3,DECK3,DECK3,,,XXXX,14.30,DECK FOUNDATION      ,1000,Framing,,XXXX-14.3-1000
|15.10 COVERED DECK FOUNDATION     ,1,,COVD,COVD,COVD,,,XXXX,15.10,COVERED DECK FOUNDATION     ,1000,Framing,,XXXX-15.1-1000
|15.20 COVERED DECK FOUNDATION     ,1,,COVD2,COVD2,COVD2,,,XXXX,15.20,COVERED DECK FOUNDATION     ,1000,Framing,,XXXX-15.2-1000
|15.30 COVERED DECK FOUNDATION     ,1,,COVD3,COVD3,COVD3,,,XXXX,15.30,COVERED DECK FOUNDATION     ,1000,Framing,,XXXX-15.3-1000
|16.10 TRUSSED MAIN FLOOR OVER BASEMENT   ,1,,WO,WO,WO,,,XXXX,16.10,TRUSSED MAIN FLOOR OVER BASEMENT   ,1000,Framing,,XXXX-16.1-1000
|16.61 WO BSMT MAIN FLOOR    ,1,,SUNWO,SUNWO,SUNWO,,,XXXX,16.61,WO BSMT MAIN FLOOR    ,1000,Framing,,XXXX-16.61-1000
"16.10, 16.20 OPT WO BASEMENT MAIN FLOOR SYSTEM  ",1,,"WO, WO2","WO, WO2",WO,WO2,,XXXX,"16.10, 16.20",OPT WO BASEMENT MAIN FLOOR SYSTEM  ,1000,Framing,,"XXXX-16.10, 16.20-1000"
|18.82 OPT DEN SUBFLOOR     ,2,,,,,,,XXXX,18.82,OPT DEN SUBFLOOR     ,1000,Framing,,XXXX-18.82-1000
|18.82 OPT DEN SUBFLOOR     ,2,"B, C, D",,"ELVB, ELVC, ELVD",ELVB,ELVC,ELVD,XXXX,18.82,OPT DEN SUBFLOOR     ,1000,Framing,,XXXX-18.82-1000
|18.83 OPT DEN W/FULL BATH SUBFLOOR   ,2,"B, C, D",,"ELVB, ELVC, ELVD",ELVB,ELVC,ELVD,XXXX,18.83,OPT DEN W/FULL BATH SUBFLOOR   ,1000,Framing,,XXXX-18.83-1000
|18.00 MAIN SUBFLOOR      ,2,"B, C, D",,"ELVB, ELVC, ELVD",ELVB,ELVC,ELVD,XXXX,18.00,MAIN SUBFLOOR      ,1000,Framing,,XXXX-18-1000
|20.00 MAIN FLOOR WALLS     ,3,,,,,,,XXXX,20.00,MAIN FLOOR WALLS     ,1000,Framing,,XXXX-20-1000
|20.01 OPT DBL      ,3,,SIDED FIREPLACE,SIDED FIREPLACE,SIDED FIREPLACE,,,XXXX,20.01,OPT DBL      ,1000,Framing,,XXXX-20.01-1000
|20.02 OPT GREAT ROOM WINDOWS    ,3,,WDWGREAT,WDWGREAT,WDWGREAT,,,XXXX,20.02,OPT GREAT ROOM WINDOWS    ,1000,Framing,,XXXX-20.02-1000
|20.02 OPT ALT GREAT ROOM WINDOWS W/ FIREPLACE ,3,,WDWGRALT,WDWGRALT,WDWGRALT,,,XXXX,20.02,OPT ALT GREAT ROOM WINDOWS W/ FIREPLACE ,1000,Framing,,XXXX-20.02-1000
|20.02 OPT GREAT ROOM WINDOW(S) @ EXT GRT RM,3,,WDWGRTX,WDWGRTX,WDWGRTX,,,XXXX,20.02,OPT GREAT ROOM WINDOW(S) @ EXT GRT RM,1000,Framing,,XXXX-20.02-1000
|20.06 OPT FLEX WINDOW     ,3,,,,,,,XXXX,20.06,OPT FLEX WINDOW     ,1000,Framing,,XXXX-20.06-1000
|20.12 OPT CENTER MEET DOOR    ,3,,MSLIDE1,MSLIDE1,MSLIDE1,,,XXXX,20.12,OPT CENTER MEET DOOR    ,1000,Framing,,XXXX-20.12-1000
|20.2l OPT CENTER MEET DOOR @ LOFT  ,3,,MSLIDE1,MSLIDE1,MSLIDE1,,,XXXX,20.2l,OPT CENTER MEET DOOR @ LOFT  ,1000,Framing,,XXXX-20.2l-1000
